2013-12-05 16:24:18,647 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2013-12-05 16:24:18,649 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/landi/Escritorio/Nico/Informatorio/Java/practServlet/Ejer2/src/test/resources
2013-12-05 16:24:23,565 [Worker-45] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2013-12-05 16:24:23,568 [Worker-45] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-12-05 16:24:23,575 [Worker-45] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2013-12-05 16:24:23,577 [Worker-45] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/landi/Escritorio/Nico/Informatorio/Java/practServlet/Ejer2/src/test/resources
2013-12-05 16:25:26,277 [Worker-45] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2013-12-05 16:25:26,284 [Worker-45] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2013-12-05 16:25:26,294 [Worker-45] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2013-12-05 16:25:26,297 [Worker-45] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/landi/Escritorio/Nico/Informatorio/Java/practServlet/Ejer2/src/test/resources
2013-12-05 16:26:13,139 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2013-12-05 16:26:13,141 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-12-05 16:26:13,149 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2013-12-05 16:26:13,150 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/landi/Escritorio/Nico/Informatorio/Java/practServlet/Ejer2/src/test/resources
2013-12-05 16:33:58,756 [Worker-51] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2013-12-05 16:33:58,758 [Worker-51] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-12-05 16:33:58,764 [Worker-51] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
